PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-1;2026-04-20 09:06:04.789728;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;PASS;IAM Access Analyzer foretale-account-analyzer-us-east-1 is enabled.;arn:aws:access-analyzer:us-east-1:442426872653:analyzer/foretale-account-analyzer-us-east-1;accessanalyzer_enabled;False;foretale-account-analyzer-us-east-1;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-1;2026-04-20 09:06:04.789728;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;PASS;IAM Access Analyzer foretale-account-analyzer-us-east-1 is enabled.;arn:aws:access-analyzer:us-east-1:442426872653:analyzer/foretale-account-analyzer-us-east-1;accessanalyzer_enabled;False;foretale-account-analyzer-us-east-1;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-1;2026-04-20 09:06:04.789728;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;PASS;IAM Access Analyzer foretale-account-analyzer-us-east-1 is enabled.;arn:aws:access-analyzer:us-east-1:442426872653:analyzer/foretale-account-analyzer-us-east-1;accessanalyzer_enabled;False;foretale-account-analyzer-us-east-1;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-2;2026-04-20 09:06:04.789728;Enabled security services;Check if security services are enabled;Deploy account from predefined IaC template;;;SecurityServices;Automated;FAIL;IAM Access Analyzer in account 442426872653 is not enabled.;arn:aws:accessanalyzer:us-east-2:442426872653:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-2;2026-04-20 09:06:04.789728;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer in account 442426872653 is not enabled.;arn:aws:accessanalyzer:us-east-2:442426872653:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-2;2026-04-20 09:06:04.789728;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer in account 442426872653 is not enabled.;arn:aws:accessanalyzer:us-east-2:442426872653:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-1;2026-04-20 09:06:04.789728;Create analyzers in each active regions;Establish analyzers within every active region.;IAM Access Analyzer;;;IAM Access Analyzer;Automated;FAIL;IAM Access Analyzer foretale-account-analyzer-us-east-1 has 1 active findings.;arn:aws:access-analyzer:us-east-1:442426872653:analyzer/foretale-account-analyzer-us-east-1;accessanalyzer_enabled_without_findings;False;foretale-account-analyzer-us-east-1;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-1;2026-04-20 09:06:04.789728;Verify that events are present in SecurityHub aggregated view;Confirm the presence of events within the aggregated view of SecurityHub.;IAM Access Analyzer;;;SecurityHub;Automated;FAIL;IAM Access Analyzer foretale-account-analyzer-us-east-1 has 1 active findings.;arn:aws:access-analyzer:us-east-1:442426872653:analyzer/foretale-account-analyzer-us-east-1;accessanalyzer_enabled_without_findings;False;foretale-account-analyzer-us-east-1;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-1;2026-04-20 09:06:04.789728;Billing, emergency, security contacts;Check if billing, emergency, security contacts are configured;Deploy account from predefined IaC template;;;Billing;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::442426872653:root;account_maintain_current_contact_details;False;442426872653;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
aws;Checklist when onboarding new AWS Accounts to existing AWS Organization.;442426872653;us-east-1;2026-04-20 09:06:04.789728;Billing, emergency, security contacts;Check if billing, emergency, security contacts are configured;Deploy account from predefined IaC template;;;Billing;Automated;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::442426872653:root;account_security_contact_information_is_registered;False;442426872653;AWS-Account-Security-Onboarding;AWS Account Security Onboarding;
