PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;PASS;IAM Access Analyzer foretale-account-analyzer-us-east-1 is enabled.;arn:aws:access-analyzer:us-east-1:442426872653:analyzer/foretale-account-analyzer-us-east-1;accessanalyzer_enabled;False;foretale-account-analyzer-us-east-1;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-2;2026-04-20 09:06:04.789728;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer in account 442426872653 is not enabled.;arn:aws:accessanalyzer:us-east-2:442426872653:analyzer/unknown;accessanalyzer_enabled;False;analyzer/unknown;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;A.8 Technological controls;A.8.3;Information Access Restriction;Access to information and other associated assets should be restricted in accordance with the established topic-specific policy on access control.;FAIL;IAM Access Analyzer foretale-account-analyzer-us-east-1 has 1 active findings.;arn:aws:access-analyzer:us-east-1:442426872653:analyzer/foretale-account-analyzer-us-east-1;accessanalyzer_enabled_without_findings;False;foretale-account-analyzer-us-east-1;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::442426872653:root;account_maintain_current_contact_details;False;442426872653;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.5.6;Contact With Special Interest Groups;The organisation should establish and maintain contact with special interest groups or other specialist security forums and professional associations.;A.5 Organizational controls;A.5.6;Contact With Special Interest Groups;The organisation should establish and maintain contact with special interest groups or other specialist security forums and professional associations.;FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;arn:aws:iam::442426872653:root;account_maintain_different_contact_details_to_security_billing_and_operations;False;442426872653;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;A.5 Organizational controls;A.5.5;Contact With Authorities;The organisation should establish and maintain contact with relevant authorities.;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::442426872653:root;account_security_contact_information_is_registered;False;442426872653;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.8.5;Secure Authentication;Secure authentication technologies and procedures should be implemented based on information access restrictions and the topic-specific policy on access control.;A.8 Technological controls;A.8.5;Secure Authentication;Secure authentication technologies and procedures should be implemented based on information access restrictions and the topic-specific policy on access control.;PASS;ACM Certificate 7e6e7d7f-f8f5-480e-9e4b-961d86f92ece for api.foretale.net expires in 318 days.;arn:aws:acm:us-east-1:442426872653:certificate/7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;acm_certificates_expiration_check;False;7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.8.5;Secure Authentication;Secure authentication technologies and procedures should be implemented based on information access restrictions and the topic-specific policy on access control.;A.8 Technological controls;A.8.5;Secure Authentication;Secure authentication technologies and procedures should be implemented based on information access restrictions and the topic-specific policy on access control.;PASS;ACM Certificate ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80 for gateway.foretale.net expires in 150 days.;arn:aws:acm:us-east-1:442426872653:certificate/ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;acm_certificates_expiration_check;False;ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;442426872653;us-east-1;2026-04-20 09:06:04.789728;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;A.8 Technological controls;A.8.15;Logging;Logs that record activities, exceptions, faults and other relevant events should be produced, stored, protected and analysed.;FAIL;API Gateway api-storage-invoker ID q7a7pxjy02 in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/q7a7pxjy02/stages/main;apigateway_restapi_logging_enabled;False;api-storage-invoker;ISO27001;ISO/IEC 27001 Information Security Management Standard 2022
