PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;ac_5;Network integrity is protected (e.g., network segregation, network segmentation).;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;PASS;ACM Certificate 7e6e7d7f-f8f5-480e-9e4b-961d86f92ece for api.foretale.net expires in 318 days.;arn:aws:acm:us-east-1:442426872653:certificate/7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;acm_certificates_expiration_check;False;7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;ds_2;Data-in-transit is protected.;Protect (PR);Data Security (PR.DS);;aws;;PASS;ACM Certificate 7e6e7d7f-f8f5-480e-9e4b-961d86f92ece for api.foretale.net expires in 318 days.;arn:aws:acm:us-east-1:442426872653:certificate/7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;acm_certificates_expiration_check;False;7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;ac_5;Network integrity is protected (e.g., network segregation, network segmentation).;Protect (PR);Identity Management and Access Control (PR.AC);;aws;;PASS;ACM Certificate ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80 for gateway.foretale.net expires in 150 days.;arn:aws:acm:us-east-1:442426872653:certificate/ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;acm_certificates_expiration_check;False;ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;ds_2;Data-in-transit is protected.;Protect (PR);Data Security (PR.DS);;aws;;PASS;ACM Certificate ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80 for gateway.foretale.net expires in 150 days.;arn:aws:acm:us-east-1:442426872653:certificate/ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;acm_certificates_expiration_check;False;ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;ae_1;A baseline of network operations and expected data flows for users and systems is established and managed.;Detect (DE);Anomalies and Events (DE.AE);;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;ae_3;Event data are collected and correlated from multiple sources and sensors.;Detect (DE);Anomalies and Events (DE.AE);;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;cm_1;The network is monitored to detect potential cybersecurity events.;Detect (DE);Security Continuous Monitoring (DE.CM);;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;cm_7;Monitoring for unauthorized personnel, connections, devices, and software is performed.;Detect (DE);Security Continuous Monitoring (DE.CM);;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;am_3;Organizational communication and data flows are mapped.;Identify (ID);Asset Management (ID.AM);;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;pt_1;Audit/log records are determined, documented, implemented, and reviewed in accordance with policy.;Protect (PR);Protective Technology (PR.PT);;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
aws;The NIST Cybersecurity Framework (CSF) is supported by governments and industries worldwide as a recommended baseline for use by any organization, regardless of sector or size. The NIST Cybersecurity Framework consists of three primary components: the framework core, the profiles, and the implementation tiers. The framework core contains desired cybersecurity activities and outcomes organized into 23 categories that cover the breadth of cybersecurity objectives for an organization. The profiles contain an organization's unique alignment of their organizational requirements and objectives, risk appetite, and resources using the desired outcomes of the framework core. The implementation tiers describe the degree to which an organization’s cybersecurity risk management practices exhibit the characteristics defined in the framework core.;442426872653;us-east-1;2026-04-20 09:06:04.789728;ae_1;A baseline of network operations and expected data flows for users and systems is established and managed.;Detect (DE);Anomalies and Events (DE.AE);;aws;;FAIL;API Gateway api-storage-invoker ID q7a7pxjy02 in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/q7a7pxjy02/stages/main;apigateway_restapi_logging_enabled;False;api-storage-invoker;NIST-CSF;National Institute of Standards and Technology (NIST) Cybersecurity Framework (CSF) v1.1;
